Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,Risk_Reward_10D,MA_Uptrend,ITrend_Uptrend,Buy_Signal
XPO,0.94,0.74,0.94,0.48,0.94,0.95,0.93,0.91,109.21,6.98,0.2047,0.29,True,True,True
IOR,0.97,0.57,0.97,0.38,0.91,0.87,0.9,0.8,110.61,10.6,0.245,0.23,True,True,True
KTB,0.98,0.72,0.98,0.29,0.94,0.92,0.86,0.81,113.39,4.29,0.2398,0.56,True,True,True
LEN,0.98,0.41,0.98,0.21,0.86,0.82,0.79,0.68,115.64,10.32,0.2248,0.22,True,True,True
HCA,1.0,0.33,1.0,0.22,0.83,0.7,0.8,0.77,115.72,8.33,0.2104,0.25,True,True,True
GFF,0.94,0.7,0.94,0.29,0.93,0.94,0.86,0.84,115.95,5.03,0.2547,0.51,True,True,True
HIG,0.99,0.55,0.99,0.33,0.91,0.86,0.88,0.85,116.43,6.69,0.2113,0.32,True,True,True
AAON,0.93,0.26,0.93,0.22,0.78,0.78,0.81,0.84,116.46,5.69,0.2021,0.36,True,True,True
LRN,1.0,0.96,1.0,0.38,0.96,0.93,0.9,0.85,116.83,6.14,0.233,0.38,True,True,True
CVCO,0.98,0.4,0.98,0.26,0.86,0.79,0.84,0.81,118.04,8.93,0.2036,0.23,True,True,True
APOG,1.0,0.42,1.0,0.32,0.87,0.87,0.87,0.82,118.12,6.74,0.2123,0.32,True,True,True
FIX,0.96,0.93,0.96,0.67,0.96,0.96,0.96,0.96,118.6,3.34,0.3205,0.96,True,True,True
BK,0.99,0.44,0.99,0.2,0.88,0.84,0.79,0.8,118.7,5.89,0.215,0.36,True,True,True
AXP,1.0,0.5,1.0,0.29,0.9,0.86,0.86,0.88,119.5,4.56,0.2358,0.52,True,True,True
SCSC,0.99,0.74,0.99,0.41,0.94,0.9,0.91,0.86,119.84,5.73,0.2097,0.37,True,True,True
BBSI,1.0,0.63,1.0,0.36,0.92,0.89,0.89,0.85,120.1,8.87,0.2267,0.26,True,True,True
URI,0.96,0.59,0.96,0.24,0.92,0.92,0.83,0.86,120.13,6.42,0.232,0.36,True,True,True
PATK,1.0,0.56,1.0,0.37,0.91,0.88,0.89,0.84,120.18,10.21,0.2606,0.26,True,True,True
AWI,0.98,0.69,0.98,0.39,0.93,0.92,0.9,0.88,120.22,9.05,0.2794,0.31,True,True,True
PHM,0.98,0.57,0.98,0.3,0.91,0.9,0.87,0.79,120.71,10.38,0.2685,0.26,True,True,True
CTAS,0.99,0.52,0.99,0.31,0.9,0.87,0.87,0.87,120.88,6.5,0.2009,0.31,True,True,True
ISRG,0.97,0.4,0.97,0.21,0.86,0.8,0.8,0.83,121.05,4.7,0.2401,0.51,True,True,True
RGA,1.0,0.61,1.0,0.37,0.92,0.86,0.89,0.88,121.18,5.8,0.2103,0.36,True,True,True
CLH,1.0,0.45,1.0,0.43,0.88,0.86,0.92,0.89,121.49,7.88,0.2182,0.28,True,True,True
BLD,0.98,0.75,0.98,0.38,0.94,0.93,0.9,0.85,122.2,8.35,0.2876,0.34,True,True,True
BPOP,0.98,0.42,0.98,0.21,0.87,0.87,0.79,0.81,122.29,7.63,0.2161,0.28,True,True,True
TMHC,0.98,0.38,0.98,0.29,0.85,0.78,0.86,0.8,122.35,10.0,0.2279,0.23,True,True,True
MTH,0.97,0.36,0.97,0.23,0.84,0.81,0.82,0.66,122.44,11.03,0.264,0.24,True,True,True
FSS,0.98,0.62,0.98,0.34,0.92,0.88,0.88,0.87,122.51,8.74,0.2333,0.27,True,True,True
