Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
BRIGADE.NS,0.91,1.21,0.91,0.51,0.81,0.78,0.75,0.62,115.06,25.81,0.288,0.2098,0.11,True,True,True,True,True,True
CUBEXTUB.NS,0.85,1.91,0.85,0.47,0.91,0.87,0.73,0.77,116.32,22.02,0.2253,0.2321,0.1,True,True,True,True,True,True
KESORAMIND.NS,0.97,1.52,0.97,0.48,0.87,0.87,0.73,0.72,117.77,24.27,0.2903,0.209,0.12,True,True,True,True,True,True
SHRIPISTON.NS,0.99,0.94,0.99,0.48,0.74,0.66,0.73,0.6,122.33,26.7,0.3123,0.2547,0.12,True,True,True,True,True,True
JSWENERGY.NS,0.99,1.11,0.99,0.65,0.79,0.81,0.81,0.79,124.57,26.49,0.2966,0.2207,0.11,True,True,True,True,True,True
PRESTIGE.NS,0.88,2.18,0.88,1.12,0.92,0.9,0.9,0.88,125.19,29.02,0.3374,0.2512,0.12,True,True,True,True,True,True
NEWGEN.NS,0.96,1.37,0.96,0.51,0.84,0.86,0.75,0.79,125.37,26.64,0.2834,0.2686,0.11,True,True,True,True,True,True
BLUESTARCO.NS,0.95,1.46,0.95,0.66,0.86,0.79,0.81,0.79,125.86,29.23,0.306,0.216,0.1,True,True,True,True,True,True
CCHHL.NS,0.76,1.38,0.76,0.8,0.84,0.87,0.85,0.77,129.34,33.13,0.4062,0.2249,0.12,True,True,True,True,True,True
ELECTCAST.NS,0.98,2.15,0.98,0.76,0.92,0.91,0.84,0.74,131.07,32.67,0.3444,0.329,0.11,True,True,True,True,True,True
CENTURYTEX.NS,0.96,1.38,0.96,0.94,0.85,0.83,0.88,0.85,132.89,30.08,0.3244,0.2178,0.11,True,True,True,True,True,True
TVSHLTD.NS,0.96,1.78,0.96,0.94,0.89,0.9,0.88,0.89,141.63,35.04,0.4216,0.2634,0.12,True,True,True,True,True,True
GENESYS.NS,0.95,1.48,0.95,0.65,0.86,0.74,0.81,0.84,143.57,35.96,0.4401,0.2112,0.12,True,True,True,True,True,True
