Ticker,52W_High_Ratio,52W_ROC,26W_High_Ratio,26W_ROC,RS52W,RS52W_13W,RS26W,RS26W_4W,Trend_Ratio,Stop_Loss_Pct,g_Daily_Pct,g_1000_Daily_Pct,Risk_Reward_10D,RS_Uptrend,MA_Uptrend,MA_Day_Uptrend,MA_Week_Uptrend,ITrend_Uptrend,Buy_Signal
BELFA,0.93,0.74,0.93,0.41,0.93,0.89,0.93,0.88,117.61,21.61,0.2204,0.2127,0.1,True,True,True,True,True,True
BMA,0.93,1.57,0.93,0.97,0.97,0.97,0.98,0.97,128.94,33.49,0.4046,0.2061,0.12,True,True,True,True,True,True
TAYD,0.94,1.63,0.94,0.71,0.97,0.96,0.96,0.96,132.15,34.67,0.4264,0.2549,0.12,True,True,True,True,True,True
SUPV,0.98,1.78,0.98,1.15,0.98,0.97,0.98,0.98,136.95,36.49,0.4651,0.2045,0.13,True,True,True,True,True,True
ESOA,0.89,1.59,0.89,0.5,0.97,0.98,0.94,0.92,139.02,32.83,0.3864,0.2647,0.12,True,True,True,True,True,True
SFM,0.98,1.55,0.98,0.96,0.97,0.97,0.98,0.98,148.59,37.38,0.4449,0.2174,0.12,True,True,True,True,True,True
VBIV,0.01,-0.98,0.01,-0.49,0.01,0.07,0.08,0.07,-12.1,-3485.16,-0.6333,-0.2856,0.0,False,False,False,False,False,False
CONN,0.0,-1.0,0.0,-0.93,0.01,0.06,0.02,0.02,-7.73,-24216.48,-0.5665,-0.0911,0.0,False,False,False,False,True,False
CSSEP,0.0,-1.0,0.0,-0.13,0.0,0.01,0.31,0.29,-6.61,-18330.43,-1.7198,-0.1151,0.0,False,False,False,False,True,False
CSSE,0.02,-0.97,0.02,-0.44,0.02,0.02,0.09,0.1,-5.54,-2339.1,-0.8192,-0.1222,0.0,False,False,False,False,True,False
LL,0.0,-1.0,0.0,-0.6,0.0,0.06,0.05,0.05,-5.46,-20934.3,-0.8354,-0.1871,0.0,False,False,False,False,False,False
BIMI,0.0,-0.99,0.01,-2.31,0.01,0.28,0.0,0.01,-5.08,-8110.8,-0.4002,-0.3388,0.0,False,False,False,False,False,False
TWOU,0.0,-1.0,0.02,-0.14,0.0,0.01,0.31,0.27,-3.48,-11441.97,-1.1701,-0.2153,0.0,False,False,False,False,False,False
TCON,0.01,-0.98,0.01,-1.18,0.01,0.03,0.01,0.03,-2.2,-3155.13,-0.7864,-0.1996,0.0,False,False,False,False,True,False
AMPE,0.0,-1.0,0.0,-0.4,0.0,0.01,0.11,0.08,-2.18,-62385.57,-1.2006,-0.1785,0.0,False,False,False,False,True,False
COMS,0.0,-1.0,0.03,-0.16,0.01,0.01,0.28,0.2,-1.71,-6641.2,-1.614,-0.658,0.0,False,False,False,False,True,False
MULN,0.0,-1.0,0.02,-0.16,0.01,0.01,0.29,0.31,-1.59,-8423.29,-1.5396,-0.1556,0.0,False,False,False,False,False,False
HALL,0.0,-1.0,0.0,-0.44,0.0,0.0,0.09,0.13,-1.21,-837895.22,-1.6275,-0.1529,0.0,False,False,False,False,True,False
EVLO,0.0,-1.0,0.33,-0.01,0.0,0.0,0.5,0.46,-1.17,-2048.39,-4.6766,-0.1239,0.02,False,False,False,False,True,False
SECO,0.0,-1.0,0.0,-1.15,0.0,0.0,0.01,0.02,-1.11,-319365.01,-1.035,-0.2984,0.0,False,False,False,False,True,False
NDRA,0.0,-1.0,0.01,-0.96,0.01,0.02,0.02,0.02,-1.08,-13256.45,-0.7541,-0.1231,0.0,False,False,False,False,False,False
WHLR,0.0,-1.0,0.06,-0.04,0.0,0.0,0.44,0.4,-0.82,-4027.38,-0.5544,-0.1569,0.0,False,False,False,False,True,False
GWAV,0.0,-1.0,0.0,-0.58,0.0,0.01,0.06,0.03,-0.32,-12927.07,-0.8456,-0.0126,0.0,False,False,False,False,True,False
TNXP,0.01,-0.99,0.01,-0.4,0.01,0.01,0.11,0.1,-0.05,-5689.05,-1.1343,-0.3254,0.0,False,False,False,False,False,False
GROM,0.02,-0.98,0.04,-0.5,0.01,0.02,0.07,0.27,0.15,-1778.91,-0.7657,-0.1937,0.0,False,False,False,False,False,False
SOFO,0.0,-1.0,0.0,-0.04,0.0,0.0,0.44,0.27,0.15,-58325.24,-2.373,-0.1989,0.0,False,False,False,False,True,False
SEEL,0.0,-1.0,0.02,-0.04,0.0,0.0,0.43,0.42,3.08,-8064.82,-2.8966,-0.0541,0.0,False,False,False,False,False,False
MOTS,0.0,-0.99,0.07,-0.08,0.01,0.01,0.38,0.33,3.57,-6146.45,-2.784,-0.2665,0.0,False,False,False,False,False,False
CEI,0.04,-0.93,0.09,-0.55,0.03,0.05,0.06,0.11,4.45,-837.13,-0.8246,-0.1781,0.01,False,False,False,False,False,False
TIO,0.01,-0.99,0.18,-0.03,0.01,0.01,0.46,0.18,4.83,-3569.17,-1.3861,-0.4086,0.0,False,False,False,False,False,False
CETX,0.02,-0.97,0.03,-0.76,0.02,0.01,0.03,0.04,4.84,-1811.02,-1.0968,-0.1769,0.01,False,False,False,False,True,False
NBY,0.01,-0.98,0.05,-0.2,0.01,0.02,0.24,0.2,4.95,-1214.44,-1.2423,-0.2628,0.01,False,False,False,False,True,False
FUV,0.02,-0.97,0.07,-0.49,0.02,0.02,0.08,0.07,5.27,-1779.31,-0.7177,-0.1229,0.0,False,False,False,False,True,False
EFSH,0.02,-0.98,0.04,-0.41,0.01,0.01,0.11,0.18,6.45,-1323.88,-0.7011,-0.5548,0.01,False,False,False,False,False,False
MCOM,0.0,-1.0,0.78,0.0,0.0,0.0,0.51,0.47,8.12,-11892.37,-7.751,-0.2726,0.01,False,False,False,False,True,False
HUGE,0.04,-0.95,0.08,-0.61,0.02,0.04,0.05,0.04,8.52,-1028.13,-1.1908,-0.2319,0.01,False,False,False,False,False,False
GLYC,0.05,-0.89,0.05,-1.8,0.04,0.04,0.01,0.01,8.93,-838.58,-0.4335,-0.1924,0.01,False,False,False,False,False,False
JAGX,0.04,-0.95,0.05,-0.19,0.02,0.03,0.26,0.26,9.39,-708.15,-1.4481,-0.0874,0.02,False,False,False,False,True,False
APVO,0.02,-0.98,0.06,-0.27,0.01,0.01,0.18,0.12,9.4,-1413.73,-1.1878,-0.0877,0.01,False,False,False,False,False,False
TANH,0.04,-0.93,0.09,-0.23,0.03,0.05,0.22,0.16,9.86,-619.87,-1.5852,-0.4606,0.03,False,False,False,False,True,False
GNPX,0.02,-0.98,0.1,-0.21,0.01,0.02,0.23,0.23,9.91,-1190.97,-1.1837,-0.223,0.01,False,False,False,False,False,False
FRGT,0.01,-0.96,0.1,-0.4,0.02,0.02,0.11,0.11,10.21,-1117.41,-1.0757,-0.0358,0.01,False,False,False,False,False,False
USDP,0.02,-0.97,0.08,-0.37,0.02,0.03,0.12,0.13,11.42,-924.36,-0.403,-0.0823,0.0,False,False,False,False,False,False
SMSI,0.05,-0.95,0.18,-0.2,0.02,0.06,0.24,0.15,11.75,-679.52,-0.7395,-0.1261,0.01,False,False,False,False,False,False
PBLA,0.01,-0.99,0.32,-0.02,0.01,0.01,0.47,0.43,11.92,-1676.04,-1.526,-0.2336,0.01,False,False,False,False,False,False
VTAK,0.05,-0.92,0.05,-1.01,0.03,0.12,0.02,0.06,12.43,-961.09,-0.4372,-0.4,0.0,False,False,False,False,False,False
WKHS,0.05,-0.94,0.13,-0.49,0.02,0.03,0.08,0.12,12.56,-628.2,-0.7868,-0.4679,0.01,False,False,False,False,False,False
SINT,0.02,-0.98,0.09,-0.11,0.01,0.01,0.34,0.29,12.59,-1155.69,-1.3951,-0.3119,0.01,False,False,False,False,True,False
VEV,0.12,-0.88,0.14,-0.6,0.04,0.14,0.05,0.05,12.87,-450.33,-0.542,-0.0381,0.01,False,False,False,False,False,False
BIG,0.02,-0.97,0.03,-0.74,0.02,0.05,0.04,0.06,13.08,-3471.51,-0.5134,-0.1621,0.0,False,False,False,False,False,False
