,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,close,priceTheory,garchVol,std,ticker,signal,reward
810,AAPL241004C00100000,2024-09-16 18:59:10+00:00,100.0,116.7,127.7,128.3,0.0,0.0,1.0,8.0,2.6093784765625,True,REGULAR,USD,call,227.7899932861328,127.8871682628648,0.19933456847918885,0.2337381217789981,AAPL,,0.0
811,AAPL241004C00105000,2024-09-16 18:59:10+00:00,105.0,111.7,122.45,123.3,0.0,0.0,,2.0,2.2109419726562494,True,REGULAR,USD,call,227.7899932861328,122.89202701170142,0.19933456847918885,0.2337381217789981,AAPL,,0.0
812,AAPL241004C00125000,2024-09-27 17:21:27+00:00,125.0,103.05,102.7,103.35,6.7000046,6.9538193,1.0,2.0,1.984375078125,True,REGULAR,USD,call,227.7899932861328,102.91146200704783,0.19933456847918885,0.2337381217789981,AAPL,,0.0
813,AAPL241004C00135000,2024-09-26 19:31:38+00:00,135.0,92.86,91.8,93.3,0.0,0.0,3.0,4.0,1.9755860595703125,True,REGULAR,USD,call,227.7899932861328,92.92117950472104,0.19933456847918885,0.2337381217789981,AAPL,,0.0
814,AAPL241004C00140000,2024-09-26 15:15:04+00:00,140.0,87.39,87.75,88.35,0.0,0.0,2.0,6.0,1.6679704101562502,True,REGULAR,USD,call,227.7899932861328,87.92603825355765,0.19933456847918885,0.2337381217789981,AAPL,,0.0
815,AAPL241004C00145000,2024-09-17 14:06:55+00:00,145.0,71.45,82.7,83.35,0.0,0.0,69.0,10.0,1.537111689453125,True,REGULAR,USD,call,227.7899932861328,82.93089700239425,0.19933456847918885,0.2337381217789981,AAPL,,0.0
816,AAPL241004C00150000,2024-09-27 18:13:52+00:00,150.0,77.91,77.55,78.3,2.3600006,3.1237597,44.0,3.0,1.3281283593749997,True,REGULAR,USD,call,227.7899932861328,77.93575575123084,0.19933456847918885,0.2337381217789981,AAPL,,0.0
817,AAPL241004C00160000,2024-09-27 14:38:20+00:00,160.0,68.88,67.5,68.35,1.6699982,2.4847467,1.0,23.0,1.142582412109375,True,REGULAR,USD,call,227.7899932861328,67.94547324890405,0.19933456847918885,0.2337381217789981,AAPL,,0.0
818,AAPL241004C00165000,2024-09-27 15:33:00+00:00,165.0,62.92,62.75,63.35,2.6399994,4.379561,10.0,38.0,1.16016044921875,True,REGULAR,USD,call,227.7899932861328,62.95033199774066,0.19933456847918885,0.2337381217789981,AAPL,,0.0
819,AAPL241004C00170000,2024-09-27 19:08:38+00:00,170.0,58.14,57.5,58.4,-0.9300003,-1.5744038,77.0,68.0,0.991211025390625,True,REGULAR,USD,call,227.7899932861328,57.95519074657726,0.19933456847918885,0.2337381217789981,AAPL,,0.0
820,AAPL241004C00175000,2024-09-27 18:32:27+00:00,175.0,52.95,52.5,53.4,0.52000046,0.9917995,21.0,38.0,0.90429783203125,True,REGULAR,USD,call,227.7899932861328,52.96004949541386,0.19933456847918885,0.2337381217789981,AAPL,,0.0
821,AAPL241004C00180000,2024-09-27 19:22:56+00:00,180.0,48.07,46.95,48.4,0.579998,1.2213055,44.0,36.0,1.035649353027344,True,REGULAR,USD,call,227.7899932861328,47.96490824425113,0.19933456847918885,0.2337381217789981,AAPL,,0.0
822,AAPL241004C00185000,2024-09-27 19:30:24+00:00,185.0,43.4,42.8,43.3,0.2800026,0.6493567,161.0,116.0,0.79687703125,True,REGULAR,USD,call,227.7899932861328,42.96976699327192,0.19933456847918885,0.2337381217789981,AAPL,,0.0
823,AAPL241004C00190000,2024-09-27 19:22:23+00:00,190.0,38.11,37.8,38.4,0.5299988,1.4103214,139.0,605.0,0.7324245507812499,True,REGULAR,USD,call,227.7899932861328,37.97462576758432,0.19933456847918885,0.2337381217789981,AAPL,,0.0
824,AAPL241004C00195000,2024-09-27 19:22:36+00:00,195.0,33.2,32.75,33.4,0.15000153,0.4538624,31.0,481.0,0.6337927246093751,True,REGULAR,USD,call,227.7899932861328,32.979486266565395,0.19933456847918885,0.2337381217789981,AAPL,,0.0
825,AAPL241004C00197500,2024-09-26 16:41:28+00:00,197.5,29.85,29.4,30.9,0.0,0.0,11.0,95.0,0.6918976123046876,True,REGULAR,USD,call,227.7899932861328,30.481925439979076,0.19933456847918885,0.2337381217789981,AAPL,,0.0
826,AAPL241004C00200000,2024-09-27 19:56:58+00:00,200.0,28.05,27.75,28.35,0.059999466,0.21436037,112.0,448.0,0.5380905566406251,True,REGULAR,USD,call,227.7899932861328,27.984407928243524,0.19933456847918885,0.2337381217789981,AAPL,,0.0
827,AAPL241004C00202500,2024-09-27 19:25:54+00:00,202.5,25.37,25.1,25.9,2.0700016,8.884128,52.0,314.0,0.5952188916015625,True,REGULAR,USD,call,227.7899932861328,25.487084614946177,0.19933456847918885,0.2337381217789981,AAPL,,0.0
828,AAPL241004C00205000,2024-09-27 18:56:40+00:00,205.0,23.4,22.7,23.5,0.9599991,4.278071,37.0,431.0,0.5678754150390625,True,REGULAR,USD,call,227.7899932861328,22.990509039024186,0.19933456847918885,0.2337381217789981,AAPL,,0.0
829,AAPL241004C00207500,2024-09-26 15:15:44+00:00,207.5,20.05,20.25,20.9,0.0,0.0,681.0,953.0,0.49805189453125004,True,REGULAR,USD,call,227.7899932861328,20.496418004080002,0.19933456847918885,0.2337381217789981,AAPL,,0.0
830,AAPL241004C00210000,2024-09-27 19:49:59+00:00,210.0,18.14,17.7,18.6,0.34999847,1.9673887,235.0,777.0,0.48560084716796875,True,REGULAR,USD,call,227.7899932861328,18.009484267702483,0.19933456847918885,0.2337381217789981,AAPL,,0.0
831,AAPL241004C00212500,2024-09-27 18:36:29+00:00,212.5,15.9,15.3,15.85,0.25,1.5974442,11.0,270.0,0.39063109375,True,REGULAR,USD,call,227.7899932861328,15.540505637408975,0.19933456847918885,0.2337381217789981,AAPL,,0.0
832,AAPL241004C00215000,2024-09-27 19:50:12+00:00,215.0,13.15,13.0,13.6,0.019999504,0.15231915,196.0,1018.0,0.3811097045898437,True,REGULAR,USD,call,227.7899932861328,13.110919641075952,0.19933456847918885,0.2337381217789981,AAPL,,0.0
833,AAPL241004C00217500,2024-09-27 19:50:12+00:00,217.5,10.8,10.55,11.15,0.3000002,2.8571448,183.0,1377.0,0.33423517333984376,True,REGULAR,USD,call,227.7899932861328,10.757227951827629,0.19933456847918885,0.2337381217789981,AAPL,,0.0
834,AAPL241004C00220000,2024-09-27 19:57:27+00:00,220.0,8.65,8.4,8.7,0.19999981,2.3668618,5217.0,2557.0,0.284064776611328,True,REGULAR,USD,call,227.7899932861328,8.532444297205583,0.19933456847918885,0.2337381217789981,AAPL,,0.0
835,AAPL241004C00222500,2024-09-27 19:59:28+00:00,222.5,6.44,6.25,7.6,0.34000015,5.573773,611.0,1570.0,0.3590151989746094,True,REGULAR,USD,call,227.7899932861328,6.50142373869421,0.19933456847918885,0.2337381217789981,AAPL,,0.0
836,AAPL241004C00225000,2024-09-27 19:59:37+00:00,225.0,4.46,4.35,5.0,0.11000013,2.5287387,3011.0,5993.0,0.2739330419921875,True,REGULAR,USD,call,227.7899932861328,4.729083711985981,0.19933456847918885,0.2337381217789981,AAPL,,0.0
837,AAPL241004C00227500,2024-09-27 19:59:59+00:00,227.5,2.9,2.83,2.95,-0.099999905,-3.3333302,9308.0,15138.0,0.22290816162109373,True,REGULAR,USD,call,227.7899932861328,3.264551853266665,0.19933456847918885,0.2337381217789981,AAPL,,0.0
838,AAPL241004C00230000,2024-09-27 19:59:59+00:00,230.0,1.7,1.63,1.71,-0.049999952,-2.85714,35119.0,13753.0,0.2111895288085937,False,REGULAR,USD,call,227.7899932861328,2.1275764240212593,0.19933456847918885,0.2337381217789981,AAPL,,0.0
839,AAPL241004C00232500,2024-09-27 19:59:55+00:00,232.5,0.86,0.85,0.89,-0.089999974,-9.473681,12982.0,10866.0,0.20386538330078124,False,REGULAR,USD,call,227.7899932861328,1.303348686313749,0.19933456847918885,0.2337381217789981,AAPL,,0.0
840,AAPL241004C00235000,2024-09-27 19:59:44+00:00,235.0,0.4,0.38,0.41,-0.099999994,-19.999998,13805.0,15861.0,0.19873848144531248,False,REGULAR,USD,call,227.7899932861328,0.7478815446162538,0.19933456847918885,0.2337381217789981,AAPL,,0.0
841,AAPL241004C00237500,2024-09-27 19:59:53+00:00,237.5,0.17,0.17,0.2,-0.10000001,-37.03704,6811.0,4435.0,0.20337710693359373,False,REGULAR,USD,call,227.7899932861328,0.40091801623676154,0.19933456847918885,0.2337381217789981,AAPL,,0.0
