Exchange,Ticker,1-Day,1-Week,1-Month,3-Month,YTD,1-Year,3-Year,5-Year,10-Year,15-Year
xnas,aal,4.53,3.24,12.94,-11.09,-32.42,3.06,-10.26,-8.72,-10.55,-2.55
xnas,aame,-0.58,1.78,5.52,17.57,12.99,-3.87,-15.88,0.22,-6.75,2.79
xnas,aaoi,3.51,9.14,20.73,8.23,-54.34,62.14,97.64,11.02,-0.78,
xnas,aaon,2.03,0.51,-0.68,19.24,-17.68,34.24,37.51,20.33,20.1,22.86
xnas,aapl,1.64,1.53,2.86,-13.24,-18.37,5.37,12.27,20.27,20.74,23.36
xnas,aard,-1.17,13.12,13.23,24.05,,,,,,
xnas,abat,0.69,11.45,3.55,46.0,-40.65,6.57,-51.92,-1.88,,
xnas,abeo,4.01,8.01,17.12,27.17,21.01,57.48,19.57,-37.9,-28.1,-33.2
xnas,abl,5.77,-21.73,-26.22,-19.76,-22.73,-43.51,,,,
xnas,abnb,2.44,9.02,15.59,4.36,7.02,-4.33,4.85,,,
xnas,abos,12.15,17.65,20.0,-3.23,-30.23,-51.81,-31.23,,,
xnas,abp,-0.94,-1.59,-3.4,-60.42,-88.25,,,,,
xnas,absi,6.69,14.34,14.34,-2.26,15.65,-30.66,-3.39,,,
xnas,abus,2.35,3.57,4.82,3.26,6.42,4.19,10.78,11.16,-12.82,-4.66
xnas,abvc,2.67,12.41,33.91,142.02,161.02,95.18,-57.02,-44.41,-48.75,-54.59
xnas,abve,-5.3,-13.54,25.84,176.19,84.13,,,,,
xnas,acad,3.0,1.9,51.17,24.82,19.78,43.66,9.09,-13.58,-6.31,20.81
xnas,acdc,2.78,6.35,94.52,34.8,14.3,0.68,-24.0,,,
xnas,acet,1.04,5.43,25.63,-10.48,-21.28,-45.91,-60.47,,,
xnas,acgl,1.02,0.52,2.72,4.54,3.44,0.45,28.75,23.51,16.73,18.4
xnas,achc,0.49,0.44,-4.45,-23.97,-42.65,-68.32,-31.33,-5.47,-10.94,
xnas,acic,-0.36,1.11,-5.62,-9.75,-15.16,0.71,85.12,8.21,-1.03,10.44
xnas,aciu,17.92,19.3,25.93,-18.07,-24.44,-58.11,-14.38,-20.86,,
xnas,aciw,0.7,2.25,-13.1,-10.55,-8.88,33.88,19.48,10.31,6.84,14.7
xnas,acls,5.24,12.73,16.13,7.86,-9.1,-50.12,0.31,18.87,17.59,15.45
xnas,aclx,2.79,9.73,28.98,-0.73,-11.2,32.65,62.78,,,
xnas,acmr,4.62,9.53,26.15,-6.65,63.58,8.57,17.44,3.48,,
xnas,acnb,2.16,0.19,-1.59,1.99,6.23,39.13,9.04,11.35,9.86,9.72
xnas,acnt,1.39,1.7,-0.61,10.98,17.53,24.9,-8.64,8.8,-0.37,2.76
xnas,acog,-3.05,0.48,34.7,74.91,59.17,-38.71,-7.54,,,
xnas,acon,1.71,6.02,-7.16,-84.1,-99.47,-99.75,-96.43,,,
xnas,acrs,-1.92,4.79,19.53,-15.93,-38.31,48.54,-53.01,1.36,,
xnas,acrv,8.0,28.57,1.5,-75.5,-77.57,-81.61,,,,
xnas,act,0.7,-2.2,-3.89,3.05,8.14,17.83,15.75,,,
xnas,actg,2.13,2.68,24.35,-6.36,-11.75,-27.74,-4.08,0.58,-8.84,-6.62
xnas,actu,-1.43,-24.71,-2.71,29.11,12.56,,,,,
xnas,acxp,-0.13,-10.71,1.76,-46.78,-57.37,-85.36,-49.54,,,
xnas,adbe,0.41,0.44,8.86,-6.26,-6.24,-9.0,-0.98,1.19,18.12,18.77
xnas,adea,0.75,4.36,1.66,-9.76,-3.43,14.57,8.11,9.24,-4.18,2.67
xnas,adgm,13.39,12.39,0.79,14.93,20.95,,,,,
xnas,adi,1.94,4.33,14.14,0.22,5.54,-4.77,12.11,13.86,13.92,15.57
xnas,adil,-13.11,-16.51,-17.42,-23.75,-43.38,-54.25,-74.56,-57.85,,
xnas,adma,3.36,3.88,-10.86,21.88,20.17,94.8,122.15,47.27,9.16,
xnas,adn,3.57,18.37,-25.83,-35.27,-42.0,-10.22,-59.07,,,
xnas,adp,0.18,0.39,7.74,8.56,12.17,34.17,15.99,16.94,15.73,16.17
xnas,adpt,2.23,5.99,14.53,29.86,68.31,158.72,14.06,-23.59,,
xnas,adsk,-0.12,0.59,6.9,14.39,0.77,37.98,12.61,4.97,18.49,17.09
xnas,adtn,0.88,0.0,3.61,-15.56,-3.6,50.94,-23.92,-4.38,-4.16,-4.83
xnas,adtx,6.94,4.05,-25.96,-88.04,-96.75,-99.99,-99.33,,,
xnas,adur,-5.66,21.21,87.27,89.75,61.03,222.94,83.74,,,
xnas,adus,0.86,2.0,4.15,18.72,-9.75,-2.53,10.86,3.12,14.74,21.56
xnas,adv,6.56,9.24,0.78,-44.92,-55.48,-56.38,-33.84,,,
xnas,advb,1.02,-8.73,-50.79,-74.25,,,,,,
xnas,advm,16.94,27.48,-12.38,-38.74,-39.4,-62.01,-34.99,-58.38,-39.09,
xnas,aehr,2.53,18.87,38.46,28.43,-31.81,-15.31,7.18,42.5,16.37,11.03
xnas,aei,5.85,5.97,-11.2,3.0,-12.94,-25.38,-49.75,,,
xnas,aeis,1.6,5.91,13.47,14.78,5.3,13.41,14.29,11.06,15.42,16.31
xnas,aemd,-2.25,-11.79,-13.86,-28.31,-61.64,-40.03,-69.3,-52.61,-55.78,-44.49
xnas,aent,4.35,27.21,50.63,-11.33,-60.26,17.26,,,,
xnas,aep,0.02,-1.64,-4.39,0.13,12.38,18.9,3.21,6.69,9.35,10.56
xnas,aeva,9.71,14.4,126.93,576.38,340.0,561.39,10.48,,,
xnas,aeye,2.84,3.68,6.29,6.56,-16.7,-43.89,37.25,7.73,12.58,
xnas,agh,1.05,8.63,8.04,6.2,,,,,,
xnas,agio,2.23,6.98,21.22,1.03,4.47,-28.18,23.31,-7.49,-11.95,
xnas,agnc,0.88,2.01,6.45,-6.51,5.54,8.53,3.73,3.88,3.19,4.23
xnas,agys,1.64,6.66,48.65,43.19,-14.24,22.16,39.34,36.68,28.57,20.54
xnas,ahco,-1.33,-0.89,0.56,-17.21,-6.51,-19.96,-20.53,-11.01,,
xnas,aiff,10.86,8.71,11.59,-13.14,27.17,,,,,
xnas,aihs,-5.83,23.9,11.88,27.32,5.61,36.14,0.3,-22.93,,
xnas,aimd,1.76,-2.36,22.06,38.76,44.54,-21.7,-70.72,-48.81,-27.66,-28.83
xnas,aiot,1.95,3.3,-6.37,-21.67,-29.43,-0.63,24.25,-2.56,-3.7,2.97
xnas,aip,3.66,2.06,18.89,0.63,-22.18,-1.49,-4.13,,,
xnas,aire,-0.13,4.46,-23.34,-64.96,-83.63,-54.95,,,,
xnas,airg,-0.74,0.5,0.5,-21.33,-43.06,-22.24,-27.59,-15.44,,
xnas,airj,4.69,10.42,-5.78,-45.22,-46.77,-58.55,,,,
xnas,airs,10.46,14.97,120.92,29.01,-2.31,17.63,-14.83,,,
xnas,airt,8.27,8.27,21.12,8.39,-2.26,-22.37,1.75,5.44,3.94,5.72
xnas,aisp,4.66,-4.08,28.15,50.15,-21.09,40.74,,,,
